17:45:52 02/11 | INFO    | connect                        | LCU API is connected
17:45:52 02/11 | INFO    | connect                        | LCU API is connected
17:45:53 02/11 | INFO    | connect                        | LCU API is connected
17:45:53 02/11 | INFO    | connect                        | LCU API is connected
17:45:54 02/11 | INFO    | connect                        | LCU API is connected
17:45:54 02/11 | INFO    | connect                        | LCU API is connected
17:45:55 02/11 | INFO    | connect                        | LCU API is connected
17:57:05 02/11 | INFO    | connect                        | LCU API is connected
17:57:05 02/11 | INFO    | callback                       | Icon with Id=24 was set correctly.
17:57:07 02/11 | INFO    | connect                        | LCU API is connected
17:57:08 02/11 | INFO    | connect                        | LCU API is connected
17:57:09 02/11 | INFO    | callback                       | Icon with Id=9 was set correctly.
18:41:40 02/11 | INFO    | connect                        | LCU API is connected
19:06:38 02/11 | INFO    | connect                        | LCU API is connected
19:06:39 02/11 | INFO    | callback                       | Icon with Id=18 was set correctly.
19:06:42 02/11 | INFO    | connect                        | LCU API is connected
19:06:45 02/11 | INFO    | connect                        | LCU API is connected
19:13:03 02/11 | INFO    | connect                        | LCU API is connected
19:13:38 02/11 | INFO    | connect                        | LCU API is connected
19:14:33 02/11 | INFO    | connect                        | LCU API is connected
19:14:38 02/11 | INFO    | connect                        | LCU API is connected
19:14:41 02/11 | INFO    | connect                        | LCU API is connected
19:14:41 02/11 | INFO    | callback                       | Icon with Id=17 was set correctly.
19:24:24 02/11 | INFO    | connect                        | LCU API is connected
19:24:26 02/11 | INFO    | connect                        | LCU API is connected
19:24:26 02/11 | INFO    | connect                        | LCU API is connected
19:24:27 02/11 | INFO    | callback                       | Icon with Id=7 was set correctly.
19:24:28 02/11 | INFO    | connect                        | LCU API is connected
19:24:29 02/11 | INFO    | callback                       | Icon with Id=24 was set correctly.
19:24:30 02/11 | INFO    | connect                        | LCU API is connected
19:34:53 02/11 | INFO    | connect                        | LCU API is connected
19:34:55 02/11 | INFO    | connect                        | LCU API is connected
20:11:29 02/11 | INFO    | connect                        | LCU API is connected
20:11:31 02/11 | INFO    | connect                        | LCU API is connected
20:11:31 02/11 | INFO    | callback                       | Icon with Id=22 was set correctly.
20:14:52 02/11 | INFO    | connect                        | LCU API is connected
20:14:54 02/11 | INFO    | connect                        | LCU API is connected
20:14:55 02/11 | INFO    | callback                       | Icon with Id=24 was set correctly.
21:11:46 02/11 | INFO    | connect                        | LCU API is connected
21:11:48 02/11 | INFO    | connect                        | LCU API is connected
22:13:55 02/11 | INFO    | connect                        | LCU API is connected
22:26:32 02/11 | INFO    | connect                        | LCU API is connected
22:26:33 02/11 | INFO    | callback                       | Icon with Id=1 was set correctly.
22:26:34 02/11 | INFO    | connect                        | LCU API is connected
22:26:38 02/11 | INFO    | connect                        | LCU API is connected
22:42:43 02/11 | INFO    | connect                        | LCU API is connected
22:43:41 02/11 | INFO    | connect                        | LCU API is connected
22:44:30 02/11 | INFO    | connect                        | LCU API is connected
22:45:01 02/11 | INFO    | connect                        | LCU API is connected
22:46:12 02/11 | INFO    | connect                        | LCU API is connected
22:46:35 02/11 | INFO    | connect                        | LCU API is connected
22:46:36 02/11 | INFO    | callback                       | Icon with Id=14 was set correctly.
